epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,746.63,2.85186,2.26492,2.44006,0.20253,0.30726,0.20274,0.09736,1.78821,4.10457,1.6328,0.000475383,0.000475383,0.000475383
2,1528.37,1.81397,1.2294,1.49569,0.63379,0.44616,0.48563,0.23718,1.67893,1.03218,1.42325,0.000904606,0.000904606,0.000904606
3,2310.49,1.68952,1.04103,1.36585,0.74913,0.54198,0.57887,0.32166,1.40737,0.99053,1.29483,0.00128667,0.00128667,0.00128667
4,3092.16,1.61174,0.94635,1.316,0.73945,0.5883,0.64174,0.35694,1.35395,0.85939,1.25422,0.00121679,0.00121679,0.00121679
5,3846.57,1.55194,0.8825,1.27367,0.77556,0.61236,0.68465,0.36627,1.40033,0.78913,1.27548,0.00114606,0.00114606,0.00114606
6,4626.6,1.5048,0.82551,1.24519,0.77588,0.68638,0.71665,0.42231,1.31863,0.74603,1.22021,0.00107532,0.00107532,0.00107532
7,5406.92,1.45476,0.7734,1.21888,0.76579,0.64885,0.68809,0.40931,1.30535,0.71116,1.21766,0.00100459,0.00100459,0.00100459
8,6186.36,1.43739,0.74977,1.20613,0.80953,0.71454,0.74844,0.45281,1.23131,0.665,1.17523,0.000933851,0.000933851,0.000933851
9,6966.44,1.3994,0.72159,1.18711,0.82987,0.69239,0.75648,0.44962,1.23736,0.66682,1.17358,0.000863116,0.000863116,0.000863116
10,7746.06,1.36323,0.69325,1.17854,0.83671,0.69506,0.75615,0.45289,1.25045,0.63405,1.17521,0.00079238,0.00079238,0.00079238
11,8521.75,1.35759,0.68851,1.19406,0.84998,0.69922,0.75969,0.44389,1.24701,0.64707,1.17756,0.000721645,0.000721645,0.000721645
12,9310.23,1.352,0.67193,1.19162,0.8556,0.70878,0.76551,0.46068,1.22236,0.62395,1.16211,0.000650909,0.000650909,0.000650909
13,10013.8,1.33415,0.65922,1.18589,0.89097,0.71559,0.78525,0.46977,1.2141,0.61177,1.15943,0.000580174,0.000580174,0.000580174
14,10697,1.30719,0.63756,1.18086,0.88804,0.73796,0.79513,0.48708,1.18566,0.59114,1.14379,0.000509438,0.000509438,0.000509438
15,11380.8,1.30368,0.62942,1.17614,0.87217,0.72716,0.78978,0.48724,1.17507,0.58508,1.13756,0.000438703,0.000438703,0.000438703
16,12064.7,1.2785,0.61703,1.15981,0.8847,0.75763,0.80576,0.48942,1.18691,0.56737,1.14062,0.000367967,0.000367967,0.000367967
17,12750.4,1.26564,0.60812,1.15938,0.90739,0.71479,0.80656,0.49434,1.18601,0.57167,1.13323,0.000297232,0.000297232,0.000297232
18,13474.3,1.25283,0.58938,1.14761,0.89311,0.77815,0.8209,0.51913,1.14657,0.53268,1.11869,0.000226497,0.000226497,0.000226497
19,14239.7,1.23797,0.5797,1.15066,0.90293,0.76423,0.81531,0.51009,1.15377,0.52829,1.12418,0.000155761,0.000155761,0.000155761
20,15016.6,1.22899,0.57355,1.13388,0.9097,0.76009,0.82361,0.52177,1.13864,0.51806,1.11602,8.50255e-05,8.50255e-05,8.50255e-05
