epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.939,0.79896,0.60877,1.05071,0.85902,0.73513,0.79473,0.4861,1.20403,0.54947,1.16293,0.000473338,0.000473338,0.000473338
2,497.468,0.82743,0.64748,1.05651,0.82484,0.72224,0.77719,0.47752,1.18497,0.60461,1.15674,0.000902662,0.000902662,0.000902662
3,759.728,0.81307,0.62805,1.05208,0.80494,0.75818,0.79617,0.48887,1.19534,0.57472,1.15171,0.00128483,0.00128483,0.00128483
4,1022.49,0.83305,0.61511,1.04566,0.86539,0.7154,0.79085,0.48728,1.18333,0.56733,1.14684,0.00121679,0.00121679,0.00121679
5,1284.76,0.8341,0.60223,1.05312,0.8023,0.73485,0.78655,0.48119,1.18941,0.56912,1.15513,0.00114606,0.00114606,0.00114606
6,1546.97,0.80205,0.58888,1.052,0.89489,0.74018,0.80993,0.49571,1.18138,0.54074,1.14495,0.00107532,0.00107532,0.00107532
7,1809.63,0.77853,0.56299,1.02044,0.84295,0.74918,0.80351,0.50083,1.16526,0.52631,1.14385,0.00100459,0.00100459,0.00100459
8,2072.34,0.75787,0.5547,1.02295,0.84261,0.75204,0.80155,0.49057,1.18693,0.55822,1.15912,0.000933851,0.000933851,0.000933851
9,2334.65,0.76559,0.56018,1.03311,0.79956,0.75398,0.79122,0.49033,1.18234,0.55604,1.14978,0.000863116,0.000863116,0.000863116
10,2597.06,0.73472,0.52931,1.0037,0.84684,0.7451,0.79751,0.49354,1.16997,0.53478,1.14798,0.00079238,0.00079238,0.00079238
11,2858.8,0.74531,0.62513,1.04774,0.84389,0.73778,0.78979,0.48652,1.18327,0.53818,1.16618,0.000721645,0.000721645,0.000721645
12,3120.12,0.71816,0.51333,1.00336,0.82404,0.76179,0.79765,0.49307,1.1749,0.53359,1.15962,0.000650909,0.000650909,0.000650909
13,3381.44,0.70485,0.51482,1.02549,0.83999,0.75574,0.80288,0.49979,1.1688,0.53694,1.14966,0.000580174,0.000580174,0.000580174
14,3642.77,0.71415,0.57449,1.03327,0.82619,0.73384,0.7829,0.49149,1.16089,0.52752,1.14337,0.000509438,0.000509438,0.000509438
15,3904.17,0.72361,0.54966,1.03458,0.81803,0.74874,0.78979,0.49481,1.16308,0.53316,1.14999,0.000438703,0.000438703,0.000438703
16,4165.48,0.68671,0.56874,1.01023,0.86738,0.74964,0.81182,0.50112,1.15923,0.51528,1.146,0.000367967,0.000367967,0.000367967
17,4427.09,0.69568,0.51969,1.03135,0.84038,0.76103,0.80487,0.50131,1.16165,0.518,1.14667,0.000297232,0.000297232,0.000297232
18,4688.4,0.68341,0.49133,0.9973,0.82514,0.76324,0.80631,0.50523,1.15455,0.51597,1.13974,0.000226497,0.000226497,0.000226497
19,4950.01,0.6619,0.51731,0.99195,0.84562,0.75448,0.80652,0.51248,1.14987,0.51042,1.14601,0.000155761,0.000155761,0.000155761
20,5202.84,0.65733,0.46203,0.98797,0.87483,0.73547,0.80955,0.50967,1.15112,0.49867,1.14355,8.50255e-05,8.50255e-05,8.50255e-05
