epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.087,4.42836,8.82699,0.0038,0.00672,0.09574,0.00798,0.00248,3.23046,4.58378,0.00256,5.44942e-05,5.44942e-05,5.44942e-05
2,823.927,3.16029,4.62563,0.00171,0.28026,0.12139,0.05211,0.01865,2.69912,3.03467,0.00197,0.000103757,0.000103757,0.000103757
3,1196.03,2.81007,3.55703,0.00142,0.34882,0.19237,0.10267,0.03909,2.47315,2.61063,0.00174,0.000147609,0.000147609,0.000147609
4,1552.04,2.63309,3.08004,0.00129,0.29795,0.23085,0.12106,0.04972,2.31444,2.44057,0.00162,0.000139646,0.000139646,0.000139646
5,1917.12,2.53043,2.82967,0.00121,0.2945,0.24768,0.12948,0.05465,2.23421,2.372,0.00156,0.000131528,0.000131528,0.000131528
6,2277.3,2.44774,2.66976,0.00117,0.23354,0.26223,0.13236,0.05457,2.25168,2.34595,0.00153,0.00012341,0.00012341,0.00012341
7,2638.38,2.40042,2.57325,0.00113,0.24376,0.26387,0.14062,0.05977,2.153,2.30659,0.00147,0.000115292,0.000115292,0.000115292
8,2994.2,2.35336,2.50223,0.00111,0.25115,0.27671,0.14474,0.06209,2.13324,2.28817,0.00145,0.000107174,0.000107174,0.000107174
9,3348.83,2.31587,2.4478,0.00109,0.24813,0.27916,0.1497,0.06542,2.08568,2.27708,0.00144,9.9056e-05,9.9056e-05,9.9056e-05
10,3703.51,2.29969,2.41722,0.00108,0.26365,0.2844,0.14977,0.06565,2.07194,2.25871,0.00142,9.0938e-05,9.0938e-05,9.0938e-05
11,4057.22,2.16106,2.43499,0.00112,0.24891,0.28121,0.14909,0.06505,2.08188,2.29441,0.00144,8.282e-05,8.282e-05,8.282e-05
12,4399.81,2.11837,2.36958,0.00108,0.26867,0.28147,0.15559,0.06889,2.05892,2.27383,0.00143,7.4702e-05,7.4702e-05,7.4702e-05
13,4742.71,2.09695,2.34073,0.00107,0.26291,0.28986,0.15996,0.071,2.05695,2.25877,0.00142,6.6584e-05,6.6584e-05,6.6584e-05
14,5084.03,2.08235,2.32211,0.00107,0.27992,0.29077,0.16356,0.07298,2.05341,2.24408,0.00142,5.8466e-05,5.8466e-05,5.8466e-05
15,5427.33,2.06949,2.30614,0.00105,0.24517,0.29905,0.16444,0.0732,2.04579,2.24442,0.00142,5.0348e-05,5.0348e-05,5.0348e-05
16,5771.06,2.04957,2.29218,0.00105,0.24814,0.29807,0.16564,0.07399,2.0233,2.2362,0.00139,4.223e-05,4.223e-05,4.223e-05
17,6112.66,2.04907,2.2843,0.00104,0.25528,0.29858,0.16744,0.07511,2.02556,2.23056,0.0014,3.4112e-05,3.4112e-05,3.4112e-05
18,6455.07,2.03419,2.27333,0.00104,0.25704,0.29931,0.16906,0.0755,2.03504,2.22971,0.00141,2.5994e-05,2.5994e-05,2.5994e-05
19,6793.84,2.02839,2.27108,0.00103,0.25872,0.30228,0.16872,0.0756,2.02221,2.22966,0.0014,1.7876e-05,1.7876e-05,1.7876e-05
20,7128.37,2.02188,2.26489,0.00102,0.26041,0.30045,0.16845,0.07552,2.01616,2.22751,0.00139,9.758e-06,9.758e-06,9.758e-06
