epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.404,2.00347,1.85259,0.0009,0.41992,0.34919,0.32861,0.1535,1.90005,1.82893,0.00126,5.37705e-05,5.37705e-05,5.37705e-05
2,217.76,1.98061,1.84139,0.00088,0.42552,0.3552,0.32951,0.15567,1.87907,1.8254,0.00124,0.000107364,0.000107364,0.000107364
3,293.052,1.95037,1.82018,0.00087,0.43154,0.35999,0.33328,0.15795,1.86438,1.82591,0.00123,0.000159874,0.000159874,0.000159874
4,369.054,1.93972,1.81437,0.00087,0.43008,0.36278,0.33601,0.16039,1.85237,1.81699,0.00123,0.000159129,0.000159129,0.000159129
5,444.748,1.93678,1.81026,0.00086,0.43244,0.36272,0.33468,0.15947,1.83503,1.82233,0.00122,0.000157506,0.000157506,0.000157506
6,519.798,1.92971,1.80094,0.00086,0.40388,0.3672,0.33589,0.16076,1.84965,1.81674,0.00122,0.000155882,0.000155882,0.000155882
7,595.019,1.9301,1.80932,0.00086,0.44522,0.36895,0.34093,0.16412,1.8403,1.80728,0.00122,0.000154258,0.000154258,0.000154258
8,670.112,1.92164,1.80276,0.00086,0.44546,0.3633,0.34509,0.16685,1.82296,1.80162,0.00121,0.000152635,0.000152635,0.000152635
9,745.525,1.92122,1.79409,0.00085,0.42153,0.36698,0.34367,0.16588,1.83356,1.80768,0.00122,0.000151011,0.000151011,0.000151011
10,820.894,1.91778,1.79409,0.00085,0.43476,0.36518,0.34324,0.16493,1.8296,1.80867,0.00121,0.000149388,0.000149388,0.000149388
11,896.615,1.91262,1.79341,0.00085,0.42466,0.3761,0.35,0.16977,1.81869,1.79513,0.00121,0.000147764,0.000147764,0.000147764
12,972.332,1.91093,1.78422,0.00085,0.42931,0.37656,0.35133,0.17027,1.82695,1.79162,0.00121,0.00014614,0.00014614,0.00014614
13,1048.01,1.91219,1.77879,0.00085,0.43111,0.37523,0.35072,0.17058,1.82417,1.78771,0.00121,0.000144517,0.000144517,0.000144517
14,1123.58,1.9025,1.78047,0.00085,0.43367,0.38232,0.35502,0.17386,1.80918,1.78185,0.0012,0.000142893,0.000142893,0.000142893
15,1198.98,1.89931,1.77938,0.00084,0.42587,0.37319,0.3467,0.16768,1.82068,1.79661,0.0012,0.00014127,0.00014127,0.00014127
16,1274.3,1.8995,1.7732,0.00084,0.44617,0.37732,0.35531,0.17243,1.81986,1.78438,0.00121,0.000139646,0.000139646,0.000139646
17,1349.64,1.90757,1.77773,0.00085,0.43314,0.37476,0.3499,0.17174,1.80412,1.78631,0.0012,0.000138022,0.000138022,0.000138022
18,1425.35,1.89454,1.76394,0.00084,0.43481,0.37696,0.35165,0.17247,1.80698,1.78794,0.0012,0.000136399,0.000136399,0.000136399
19,1500.35,1.8936,1.76967,0.00084,0.43817,0.375,0.35531,0.17402,1.80844,1.7785,0.0012,0.000134775,0.000134775,0.000134775
20,1575.81,1.8965,1.76772,0.00084,0.43782,0.38144,0.35858,0.17655,1.79689,1.77163,0.0012,0.000133152,0.000133152,0.000133152
21,1651.17,1.89553,1.76959,0.00084,0.44771,0.38285,0.36079,0.17654,1.8001,1.77146,0.0012,0.000131528,0.000131528,0.000131528
22,1726.75,1.88698,1.75737,0.00084,0.43716,0.38305,0.35799,0.17527,1.808,1.77679,0.0012,0.000129904,0.000129904,0.000129904
23,1802,1.88534,1.75388,0.00084,0.44835,0.38012,0.36018,0.17682,1.80229,1.77205,0.00119,0.000128281,0.000128281,0.000128281
24,1877.5,1.88815,1.75943,0.00084,0.43834,0.38405,0.36049,0.17851,1.79597,1.76693,0.00119,0.000126657,0.000126657,0.000126657
25,1952.91,1.88539,1.75811,0.00083,0.44722,0.38484,0.36448,0.18058,1.794,1.76154,0.00119,0.000125034,0.000125034,0.000125034
26,2028.08,1.88686,1.75757,0.00083,0.44025,0.37909,0.35768,0.1769,1.79685,1.77343,0.00119,0.00012341,0.00012341,0.00012341
27,2103.21,1.88186,1.75267,0.00083,0.45474,0.38291,0.36297,0.18008,1.7907,1.76917,0.00118,0.000121786,0.000121786,0.000121786
28,2178.24,1.87972,1.75287,0.00083,0.45123,0.38507,0.36393,0.18015,1.78931,1.76794,0.00119,0.000120163,0.000120163,0.000120163
29,2253.21,1.87957,1.7538,0.00083,0.44947,0.38605,0.36635,0.18126,1.79093,1.76109,0.00119,0.000118539,0.000118539,0.000118539
30,2328.54,1.87426,1.74984,0.00083,0.44201,0.38266,0.35936,0.17778,1.79337,1.77037,0.00119,0.000116916,0.000116916,0.000116916
31,2403.81,1.87559,1.74747,0.00083,0.45821,0.38471,0.36619,0.18262,1.78712,1.75904,0.00119,0.000115292,0.000115292,0.000115292
32,2479.21,1.87538,1.74136,0.00083,0.45165,0.38517,0.36823,0.18372,1.78499,1.75225,0.00119,0.000113668,0.000113668,0.000113668
